name,parameter,unit,value,note
discount rate,discount rate,%/a,7,
reference emissions,reference emissions,t_CO2/MWh_e,0.49,Reference specific emissions to calculate the CO2 constraint. In the original model by Duan et al. these are the specific emissions for electricity generation from natural gas.
wind,investment,USD/kW_e,1369,CAPEX “Conservative” 2020
wind,FOM,USD/kW_e/a,43,Fixed Operation and Maintenance Expenses “Conservative” 2020
wind,lifetime,years,30,Technology Life
wind,VOM,USD/MWh_e,0,Variable Operation and Maintenance Expenses “Conservative” 2020
wind,fuel cost,USD/MWh_e,0,-
wind,efficiency,p.u.,1,-
solar,investment,USD/kW_e,1377,CAPEX “Conservative” 2050
solar,FOM,USD/kW_e/a,23,Fixed Operation and Maintenance Expenses “Conservative” 2020
solar,lifetime,years,30,Technology Life
solar,VOM,USD/MWh_e,0,Variable Operation and Maintenance Expenses “Conservative” 2020
solar,fuel cost,USD/MWh_e,0,-
solar,efficiency,p.u.,1,-
battery storage,investment,USD/kWh_e,277,CAPEX “Conservative” 2020
battery storage,FOM,USD/kWh_e/a,6.925,Calculated in ATB as 2.5% of CAPEX
battery storage,lifetime,years,15,From “Future Projections” “For 15-years life …”
battery storage,VOM,USD/MWh_e,1.00E-05,cf. with var_cost of 1e-8 per kWh_e in original model
battery storage,fuel cost,USD/MWh_e,0,-
battery storage,efficiency,p.u.,1,-
battery storage,standing losses,p.u./snapshot,0,-
battery charge,investment,USD/kW_e,257,CAPEX “Conservative” 2020
battery charge,FOM,USD/kW_e/a,6.425,Calculated in ATB as 2.5% of CAPEX
battery charge,lifetime,years,15,From “Future Projections” “For 15-years life …”
battery charge,VOM,USD/MWh_e,0,VOM “Conservative” 2020
battery charge,fuel cost,USD/MWh_e,0,-
battery charge,efficiency,p.u.,0.922,To match “Round Trip efficiency” from ATB together with battery dis-/charge. (=sqrt(0.85) )
battery discharge,investment,USD/kW_e,0,Priced into battery charge already
battery discharge,FOM,USD/kW_e/a,0,Priced into battery charge already
battery discharge,lifetime,years,0,-
battery discharge,VOM,USD/MWh_e,0,VOM “Conservative” 2020
battery discharge,fuel cost,USD/MWh_e,0,-
battery discharge,efficiency,p.u.,0.922,To match “Round Trip efficiency” from ATB together with battery dis-/charge. (=sqrt(0.85) )
nuclear,investment,USD/kW_e,7334,“Moderate scenario” CAPEX 2020
nuclear,FOM,USD/kW_e/a,145,“Moderate scenario” 2020
nuclear,lifetime,years,60,Technology Life
nuclear,VOM,USD/MWh_e,2,“Moderate scenario” 2020
nuclear,fuel cost,USD/MWh_e,7,“Moderate scenario” 2020
nuclear,efficiency,p.u.,1,-
nuclear heat source,investment,USD/kW_th,1416.58,"Use same ratio as for EIA scenario from original paper for generator / nuclear heat source, i.e. 48.29% CAPEX for generator, 51.71% for nuclear heat source and consider heat to electricity efficiency."
nuclear heat source,FOM,USD/kW_th/a,27.8,"Use same ratio as for EIA scenario from original paper for generator / nuclear heat source, i.e. 48.29% CAPEX for generator, 51.71% for nuclear heat source and consider heat to electricity efficiency."
