name,parameter,unit,value,note
discount rate,discount rate,%/a,7,
reference emissions,reference emissions,t_CO2/MWh_e,0.49,Reference specific emissions to calculate the CO2 constraint. In the original model by Duan et al. these are the specific emissions for electricity generation from natural gas.
wind,investment,USD/kW_e,1624.56,
wind,FOM,USD/kW_e/a,0,
wind,lifetime,years,25,
wind,VOM,USD/MWh_e,0,
wind,fuel cost,USD/MWh_e,0,
wind,efficiency,p.u.,1,
solar,investment,USD/kW_e,883,
solar,FOM,USD/kW_e/a,17.8,
solar,lifetime,years,25,
solar,VOM,USD/MWh_e,0,
solar,fuel cost,USD/MWh_e,0,
solar,efficiency,p.u.,1,
battery storage,investment,USD/kWh_e,452.3,
battery storage,FOM,USD/kW_e/a,0,
battery storage,lifetime,years,10,
battery storage,VOM,USD/MWh_e,0.00001,cf. with var_cost of 1e-8 per kWh_e in original model
battery storage,fuel cost,USD/MWh_e,0,
battery storage,efficiency,p.u.,0,
battery storage,standing losses,p.u./snapshot,0.00001,
battery charge,investment,USD/kW_e,0,
battery charge,FOM,USD/kW_e/a,0,
battery charge,lifetime,years,0,
battery charge,VOM,USD/MWh_e,0,
battery charge,fuel cost,USD/MWh_e,0,
battery charge,efficiency,p.u.,0.948683298050514,'=SQRT(0.9) to match 0.9 efficiency of battery together with (dis-)charge process in original model
battery discharge,investment,USD/kW_e,0,
battery discharge,FOM,USD/kW_e/a,0,
battery discharge,lifetime,years,0,
battery discharge,VOM,USD/MWh_e,0,
battery discharge,fuel cost,USD/MWh_e,0,
battery discharge,efficiency,p.u.,0.948683298050514,'=SQRT(0.9) to match 0.9 efficiency of battery together with (dis-)charge process in original model
nuclear heat source,investment,USD/kW_th,2432.51,
nuclear heat source,FOM,USD/kW_th/a,0,
nuclear heat source,lifetime,years,40,
nuclear heat source,VOM,USD/MWh_th,0,
nuclear heat source,fuel cost,USD/MWh_th,0,
nuclear heat source,efficiency,p.u.,1,
nuclear heat storage,investment,USD/kWh_th,27.61,
nuclear heat storage,FOM,USD/kWh_th/a,0,
nuclear heat storage,lifetime,years,30,
nuclear heat storage,VOM,USD/MWh_th,0.00000371,cf. with var_cost of 3.71e-9 per kWh_e in original model
nuclear heat storage,fuel cost,USD/MWh_th,0,
nuclear heat storage,standing losses,p.u./snapshot,0.00000261531,
nuclear generator,investment,USD/kW_e,2272.46,
nuclear generator,FOM,USD/kW_e/a,0,
nuclear generator,lifetime,years,30,
nuclear generator,VOM,USD/MWh_e,0,
nuclear generator,fuel cost,USD/MWh_e,0,
nuclear generator,efficiency,p.u.,0.370800284,
natural gas,investment,USD/kW_e,1104.77,
natural gas,FOM,USD/kW_e/a,0,
natural gas,lifetime,years,30,
natural gas,VOM,USD/MWh_e,20.97,cf. with var_cost of 0.02097 USD/kWh_e in original model
natural gas,fuel cost,USD/MWh_e,0,
natural gas,efficiency,p.u.,0.5365,Fuel (“carrier”: natural gas) to electricity efficiency.
natural gas with CCS,investment,USD/kW_e,2910,
natural gas with CCS,FOM,USD/kW_e/a,0,
natural gas with CCS,lifetime,years,30,
natural gas with CCS,VOM,USD/MWh_e,0,
natural gas with CCS,fuel cost,USD/MWh_e,27.19,cf. with var_cost of 0.027192 USD/kWh_e in original model
natural gas with CCS,efficiency,p.u.,1.5464,"Modified efficiency to represent lower CO2 emissions: For a quick & dirty implementation of lower CO2 emissions from NG+CCS power plant assume a higher “natural gas to electricity” efficiency, such that electricity generation happens at lower specific emissions (original specific emissions of NG without CCS: 0.47 t_CO2 / MWh_e; with CCS: 0.17 t_CO2/Mwh_e)."
load shedding,investment,USD/kW_e,0,
load shedding,FOM,USD/kW_e/a,0,
load shedding,lifetime,years,0,
load shedding,VOM,USD/MWh_e,0,
load shedding,fuel cost,USD/MWh_e,10000,
load shedding,efficiency,p.u.,1,
