template,years,country,technologydata,co2limit
advanced_nuclear,2019,US,AdvancedNuclearEIA,1
advanced_nuclear,2019,US,AdvancedNuclearEIA,0.94
advanced_nuclear,2019,US,AdvancedNuclearEIA,0.88
advanced_nuclear,2019,US,AdvancedNuclearEIA,0.82
advanced_nuclear,2019,US,AdvancedNuclearEIA,0.76
advanced_nuclear,2019,US,AdvancedNuclearEIA,0.7
advanced_nuclear,2019,US,AdvancedNuclearEIA,0.64
advanced_nuclear,2019,US,AdvancedNuclearEIA,0.58
advanced_nuclear,2019,US,AdvancedNuclearEIA,0.52
advanced_nuclear,2019,US,AdvancedNuclearEIA,0.46
advanced_nuclear,2019,US,AdvancedNuclearEIA,0.4
advanced_nuclear,2019,US,AdvancedNuclearEIA,0.34
advanced_nuclear,2019,US,AdvancedNuclearEIA,0.28
advanced_nuclear,2019,US,AdvancedNuclearEIA,0.22
advanced_nuclear,2019,US,AdvancedNuclearEIA,0.16
advanced_nuclear,2019,US,AdvancedNuclearEIA,0.1
advanced_nuclear,2019,US,AdvancedNuclearEIA,0.08
advanced_nuclear,2019,US,AdvancedNuclearEIA,0.04
advanced_nuclear,2019,US,AdvancedNuclearEIA,0.01
advanced_nuclear,2019,US,AdvancedNuclearEIA,0.001
advanced_nuclear,2019,US,AdvancedNuclearEIA,0.0001
advanced_nuclear,2019,US,AdvancedNuclearEIA,0.00001
advanced_nuclear,2019,US,AdvancedNuclearEIA,0
advanced_nuclear,2019,US,AdvancedNuclearEIA4000,1
advanced_nuclear,2019,US,AdvancedNuclearEIA4000,0.94
advanced_nuclear,2019,US,AdvancedNuclearEIA4000,0.88
advanced_nuclear,2019,US,AdvancedNuclearEIA4000,0.82
advanced_nuclear,2019,US,AdvancedNuclearEIA4000,0.76
advanced_nuclear,2019,US,AdvancedNuclearEIA4000,0.7
advanced_nuclear,2019,US,AdvancedNuclearEIA4000,0.64
advanced_nuclear,2019,US,AdvancedNuclearEIA4000,0.58
advanced_nuclear,2019,US,AdvancedNuclearEIA4000,0.52
advanced_nuclear,2019,US,AdvancedNuclearEIA4000,0.46
advanced_nuclear,2019,US,AdvancedNuclearEIA4000,0.4
advanced_nuclear,2019,US,AdvancedNuclearEIA4000,0.34
advanced_nuclear,2019,US,AdvancedNuclearEIA4000,0.28
advanced_nuclear,2019,US,AdvancedNuclearEIA4000,0.22
advanced_nuclear,2019,US,AdvancedNuclearEIA4000,0.16
advanced_nuclear,2019,US,AdvancedNuclearEIA4000,0.1
advanced_nuclear,2019,US,AdvancedNuclearEIA4000,0.08
advanced_nuclear,2019,US,AdvancedNuclearEIA4000,0.04
advanced_nuclear,2019,US,AdvancedNuclearEIA4000,0.01
advanced_nuclear,2019,US,AdvancedNuclearEIA4000,0.001
advanced_nuclear,2019,US,AdvancedNuclearEIA4000,0.0001
advanced_nuclear,2019,US,AdvancedNuclearEIA4000,0.00001
