template,years,country,technologydata,co2limit
advanced_nuclear_baseload_PGP,2019,US,AdvancedNuclearEIA4000_PGP,0
advanced_nuclear_baseload_PGP,2019,CN,AdvancedNuclearEIA4000_PGP,0
advanced_nuclear_baseload_PGP,2019,DE,AdvancedNuclearEIA4000_PGP,0
advanced_nuclear_baseload_PGP,2019,ZA,AdvancedNuclearEIA4000_PGP,0
advanced_nuclear_baseload_PGP,2019,AU,AdvancedNuclearEIA4000_PGP,0
advanced_nuclear_baseload_PGP,2019,BR,AdvancedNuclearEIA4000_PGP,0
advanced_nuclear_baseload_PGP,2019,US,AdvancedNuclearEIA4000_PGP_IRENA-RES,0
advanced_nuclear_baseload_PGP,2019,CN,AdvancedNuclearEIA4000_PGP_IRENA-RES,0
advanced_nuclear_baseload_PGP,2019,DE,AdvancedNuclearEIA4000_PGP_IRENA-RES,0
advanced_nuclear_baseload_PGP,2019,ZA,AdvancedNuclearEIA4000_PGP_IRENA-RES,0
advanced_nuclear_baseload_PGP,2019,AU,AdvancedNuclearEIA4000_PGP_IRENA-RES,0
advanced_nuclear_baseload_PGP,2019,BR,AdvancedNuclearEIA4000_PGP_IRENA-RES,0
advanced_nuclear_baseload_PGP,2019,US,AdvancedNuclearEIA4000_PGP_IEA-H2,0
advanced_nuclear_baseload_PGP,2019,CN,AdvancedNuclearEIA4000_PGP_IEA-H2,0
advanced_nuclear_baseload_PGP,2019,DE,AdvancedNuclearEIA4000_PGP_IEA-H2,0
advanced_nuclear_baseload_PGP,2019,ZA,AdvancedNuclearEIA4000_PGP_IEA-H2,0
advanced_nuclear_baseload_PGP,2019,AU,AdvancedNuclearEIA4000_PGP_IEA-H2,0
advanced_nuclear_baseload_PGP,2019,BR,AdvancedNuclearEIA4000_PGP_IEA-H2,0
advanced_nuclear_baseload_PGP,2019,US,AdvancedNuclearEIA4000_PGP_IRENA-RES_IEA-H2,0
advanced_nuclear_baseload_PGP,2019,CN,AdvancedNuclearEIA4000_PGP_IRENA-RES_IEA-H2,0
advanced_nuclear_baseload_PGP,2019,DE,AdvancedNuclearEIA4000_PGP_IRENA-RES_IEA-H2,0
