template,years,country,technologydata
conventional_nuclear,2019,US,ConventionalNuclearEIA_flexible-NPP
conventional_nuclear,2019,CN,ConventionalNuclearEIA_flexible-NPP
conventional_nuclear,2019,DE,ConventionalNuclearEIA_flexible-NPP
conventional_nuclear,2019,ZA,ConventionalNuclearEIA_flexible-NPP
conventional_nuclear,2019,AU,ConventionalNuclearEIA_flexible-NPP
conventional_nuclear,2019,BR,ConventionalNuclearEIA_flexible-NPP
advanced_nuclear_baseload,2019,US,AdvancedNuclearEIA4000
advanced_nuclear_baseload,2019,CN,AdvancedNuclearEIA4000
advanced_nuclear_baseload,2019,DE,AdvancedNuclearEIA4000
advanced_nuclear_baseload,2019,ZA,AdvancedNuclearEIA4000
advanced_nuclear_baseload,2019,AU,AdvancedNuclearEIA4000
advanced_nuclear_baseload,2019,BR,AdvancedNuclearEIA4000
advanced_nuclear_baseload,2019,US,AdvancedNuclearEIA
advanced_nuclear_baseload,2019,CN,AdvancedNuclearEIA
advanced_nuclear_baseload,2019,DE,AdvancedNuclearEIA
advanced_nuclear_baseload,2019,ZA,AdvancedNuclearEIA
advanced_nuclear_baseload,2019,AU,AdvancedNuclearEIA
advanced_nuclear_baseload,2019,BR,AdvancedNuclearEIA
conventional_nuclear_baseload,2019,US,ConventionalNuclearEIA
conventional_nuclear_baseload,2019,CN,ConventionalNuclearEIA
conventional_nuclear_baseload,2019,DE,ConventionalNuclearEIA
conventional_nuclear_baseload,2019,ZA,ConventionalNuclearEIA
conventional_nuclear_baseload,2019,AU,ConventionalNuclearEIA
conventional_nuclear_baseload,2019,BR,ConventionalNuclearEIA
advanced_nuclear_baseload,2019,US,AdvancedNuclearEIA_IRENA-PV
advanced_nuclear_baseload,2019,CN,AdvancedNuclearEIA_IRENA-PV
advanced_nuclear_baseload,2019,DE,AdvancedNuclearEIA_IRENA-PV
advanced_nuclear_baseload,2019,ZA,AdvancedNuclearEIA_IRENA-PV
advanced_nuclear_baseload,2019,AU,AdvancedNuclearEIA_IRENA-PV
advanced_nuclear_baseload,2019,BR,AdvancedNuclearEIA_IRENA-PV
advanced_nuclear_baseload,2019,US,AdvancedNuclearEIA_IRENA-wind
advanced_nuclear_baseload,2019,CN,AdvancedNuclearEIA_IRENA-wind
advanced_nuclear_baseload,2019,DE,AdvancedNuclearEIA_IRENA-wind
advanced_nuclear_baseload,2019,ZA,AdvancedNuclearEIA_IRENA-wind
advanced_nuclear_baseload,2019,AU,AdvancedNuclearEIA_IRENA-wind
advanced_nuclear_baseload,2019,BR,AdvancedNuclearEIA_IRENA-wind
advanced_nuclear_baseload,2019,US,AdvancedNuclearEIA_IRENA-RES
advanced_nuclear_baseload,2019,CN,AdvancedNuclearEIA_IRENA-RES
advanced_nuclear_baseload,2019,DE,AdvancedNuclearEIA_IRENA-RES
advanced_nuclear_baseload,2019,ZA,AdvancedNuclearEIA_IRENA-RES
advanced_nuclear_baseload,2019,AU,AdvancedNuclearEIA_IRENA-RES
advanced_nuclear_baseload,2019,BR,AdvancedNuclearEIA_IRENA-RES
advanced_nuclear_baseload_PGP,2019,US,AdvancedNuclearEIA4000_PGP
advanced_nuclear_baseload_PGP,2019,CN,AdvancedNuclearEIA4000_PGP
